	C1_s0_L001_R1_001_trimmed.fastqS.bam	C2_s0_L001_R1_001_trimmed.fastqS.bam	C3_s1_L001_R1_001_trimmed.fastqS.bam	C4_s0_L002_R1_001_trimmed.fastqS.bam	C5_s0_L002_R1_001_trimmed.fastqS.bam	NLA1_s0_L001_R1_001_trimmed.fastqS.bam	NLA2_s1_L001_R1_001_trimmed.fastqS.bam	NLA3_s0_L002_R1_001_trimmed.fastqS.bam	NLA4_s0_L002_R1_001_trimmed.fastqS.bam	NLA5_s0_L002_R1_001_trimmed.fastqS.bam	PLS1_s0_L001_R1_001_trimmed.fastqS.bam	PLS2_s0_L001_R1_001_trimmed.fastqS.bam	PLS3_s0_L002_R1_001_trimmed.fastqS.bam	PLS4_s0_L002_R1_001_trimmed.fastqS.bam	PLS5_s0_L002_R1_001_trimmed.fastqS.bam
hsa-miR-181d-5p	1016	1113	867	1172	1231	982	1075	1115	512	908	1725	1441	1857	958	526
hsa-miR-182-3p	1	1	1	0	0	0	0	0	0	0	1	0	2	0	0
hsa-miR-182-5p	555	623	502	249	305	291	380	268	126	162	215	229	205	323	297
hsa-miR-1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1827	4	6	6	6	6	0	1	1	1	2	0	2	3	1	0
hsa-miR-183-3p	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0
hsa-miR-183-5p	112	105	72	44	48	45	41	25	22	29	29	26	28	42	22
hsa-miR-184	263	282	238	176	208	77	302	217	93	109	53	31	45	16	12
hsa-miR-185-3p	42	48	43	37	40	50	72	66	21	48	38	60	43	39	29
hsa-miR-185-5p	270	353	282	239	261	217	333	303	139	82	204	195	193	161	94
hsa-miR-186-3p	3	6	2	5	3	2	5	13	7	3	3	7	2	3	0
hsa-miR-186-5p	16127	18752	15378	14507	17121	10375	20400	19667	12685	9703	9755	12752	14225	11815	6623
hsa-miR-187-3p	16	25	13	22	22	13	14	19	11	11	22	20	13	4	2
hsa-miR-187-5p	0	1	1	1	3	1	0	2	0	2	0	1	0	0	0
hsa-miR-188-3p	6	7	3	4	3	0	2	2	3	3	11	5	5	7	4
hsa-miR-188-5p	25	21	12	28	28	19	35	25	7	27	21	25	35	36	13
hsa-miR-18a-3p	32	44	39	30	32	32	38	25	18	49	25	31	33	13	15
hsa-miR-18a-5p	329	405	289	311	354	212	143	126	55	112	105	169	89	87	34
hsa-miR-18b-3p	0	0	0	1	4	1	0	1	0	1	0	3	0	1	2
hsa-miR-18b-5p	8	13	10	11	11	10	3	3	3	4	7	20	1	8	2
hsa-miR-1908-3p	4	6	6	6	5	8	13	6	4	2	1	3	4	10	6
hsa-miR-1908-5p	13	10	9	3	8	4	13	6	1	3	5	6	17	6	1
hsa-miR-1909-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-1909-5p	1	0	4	1	1	1	1	2	0	0	0	1	1	0	0
hsa-miR-190a-3p	165	172	141	125	124	37	75	72	38	53	53	46	53	37	15
hsa-miR-190a-5p	1223	1327	1132	1050	1187	489	434	363	225	350	449	455	420	182	81
hsa-miR-190b	13	13	9	6	8	6	6	4	3	11	6	12	16	10	5
hsa-miR-191-3p	13	16	14	19	12	10	5	7	3	7	6	6	21	2	2
hsa-miR-191-5p	42326	45907	38109	41494	47093	29218	39660	37477	17732	25667	35936	32603	41752	36282	22726
hsa-miR-1910-3p	2	1	3	2	6	0	2	1	0	1	0	0	0	0	0
hsa-miR-1910-5p	5	3	3	2	8	6	9	3	0	1	4	3	3	3	3
hsa-miR-1911-3p	0	0	1	1	1	9	0	0	0	0	0	0	0	0	1
hsa-miR-1911-5p	1	0	1	10	14	275	1	0	0	0	54	52	13	4	13
hsa-miR-1912	2	3	0	1	6	23	1	2	0	0	12	9	3	1	1
hsa-miR-1913	5	7	4	2	4	2	4	4	0	2	1	2	5	2	1
hsa-miR-1914-3p	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
hsa-miR-1914-5p	1	0	3	1	1	0	1	4	0	1	0	0	1	2	0
hsa-miR-1915-3p	3	3	0	0	5	1	10	10	6	11	2	1	2	1	1
hsa-miR-1915-5p	2	1	0	1	1	0	0	3	1	0	2	1	0	0	0
hsa-miR-192-3p	2	5	2	2	0	3	3	2	2	1	8	5	2	4	1
hsa-miR-192-5p	8497	10065	8142	8062	9462	6432	8608	7265	1992	5463	5170	6232	5253	4550	1765
hsa-miR-193a-3p	72	73	42	75	92	68	272	222	77	314	206	192	300	285	137
hsa-miR-193a-5p	52	60	41	36	61	87	68	89	30	40	138	104	131	111	89
hsa-miR-193b-3p	402	514	333	628	762	980	809	623	242	599	748	1378	1011	661	236
hsa-miR-193b-5p	6	5	6	3	11	11	20	5	10	7	16	14	25	6	3
hsa-miR-194-3p	4	1	3	2	2	2	3	2	1	0	1	1	1	0	0
hsa-miR-194-5p	216	253	167	217	232	168	165	141	61	120	107	127	154	105	65
hsa-miR-195-3p	25	39	25	22	33	28	42	33	22	18	63	61	97	91	39
hsa-miR-195-5p	2228	2536	2064	2177	2725	2425	1994	1585	672	2451	4581	3362	5248	4009	1773
hsa-miR-196a-3p	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-196a-5p	1	3	3	2	1	2	4	2	1	1	3	5	3	2	2
hsa-miR-196b-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-196b-5p	0	2	3	1	0	5	1	2	1	1	4	1	2	3	2
hsa-miR-197-3p	3772	4099	3374	3570	3947	3411	3050	2419	803	3123	2076	3836	3659	2738	1541
hsa-miR-197-5p	2	4	3	0	1	4	4	0	1	1	2	0	2	1	1
hsa-miR-1972	12	9	9	11	17	2	0	4	0	4	2	0	1	2	0
hsa-miR-1973	22	30	16	9	9	6	2	2	0	0	3	0	2	0	0
hsa-miR-1976	2	4	7	4	10	4	5	8	1	5	5	1	2	9	2
hsa-miR-198	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-199a-3p	391	452	370	413	393	557	337	231	51	360	723	542	1417	1304	612
hsa-miR-199a-5p	100	101	76	94	115	84	79	74	28	48	150	109	253	187	102
hsa-miR-199b-3p	391	452	370	413	393	557	337	231	51	360	723	542	1417	1304	612
hsa-miR-199b-5p	27	40	41	44	48	32	30	23	19	36	63	43	181	189	67
hsa-miR-19a-3p	1063	1282	978	778	986	717	1336	1191	927	1241	974	1053	860	600	363
hsa-miR-19a-5p	6	2	3	3	4	3	1	5	1	2	1	5	1	0	1
hsa-miR-19b-1-5p	6	5	5	3	10	2	0	6	0	8	3	2	3	1	2
hsa-miR-19b-2-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-19b-3p	3583	4463	3385	3181	3709	2757	4588	4487	3148	5697	3263	3494	3339	2162	1321
hsa-miR-200a-3p	74	69	56	49	57	58	35	40	19	33	43	43	45	37	27
hsa-miR-200a-5p	6	2	2	2	5	4	3	3	0	1	5	2	0	4	3
hsa-miR-200b-3p	78	95	83	57	69	74	65	53	33	49	49	50	72	54	41
hsa-miR-200b-5p	2	2	2	0	1	3	0	1	1	0	1	1	0	0	0
hsa-miR-200c-3p	13	1	6	8	11	12	11	9	2	4	27	13	29	21	10
hsa-miR-200c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-202-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-202-5p	3	4	4	5	5	2	1	0	0	0	0	3	0	4	3
hsa-miR-203a-3p	107	118	97	84	89	81	54	61	18	66	78	84	51	45	41
hsa-miR-203a-5p	1	2	3	3	2	2	2	2	0	5	3	6	7	3	7
hsa-miR-203b-3p	11	17	13	11	13	5	11	11	6	12	8	6	6	0	1
hsa-miR-203b-5p	39	32	36	26	26	38	12	16	12	26	42	39	138	54	72
hsa-miR-204-3p	6	11	3	3	7	6	7	2	2	9	10	6	7	2	7
hsa-miR-204-5p	4667	5099	4169	6248	6898	13889	7155	6136	2136	13856	7331	6754	6609	8013	4204
hsa-miR-205-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-205-5p	1	3	2	3	3	0	2	1	2	0	2	1	2	0	0
hsa-miR-2052	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2054	5	4	8	1	4	8	0	0	0	1	1	1	1	2	1
hsa-miR-206	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-208a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-208a-5p	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-208b-3p	8	14	15	7	10	21	24	19	3	12	39	27	29	21	14
hsa-miR-208b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-20a-3p	20	18	22	19	23	15	10	5	4	11	19	17	20	12	6
hsa-miR-20a-5p	1350	1471	1269	1178	1447	883	442	438	180	415	765	809	791	411	237
hsa-miR-20b-3p	5	5	2	2	0	1	1	0	0	1	2	1	3	1	2
hsa-miR-20b-5p	110	120	96	117	107	99	59	33	18	47	117	110	164	110	38
hsa-miR-21-3p	747	915	705	845	1054	953	1821	1547	248	907	1801	1666	1222	4987	2269
hsa-miR-21-5p	15058	17350	14323	13615	16684	27384	19899	18749	7923	25521	37886	37832	40904	107815	65368
hsa-miR-210-3p	476	590	406	435	520	363	298	289	104	145	243	358	263	229	107
hsa-miR-210-5p	16	22	15	11	14	13	3	8	1	5	2	6	24	6	1
hsa-miR-211-3p	2	0	0	1	2	1	0	2	0	0	0	0	0	1	2
hsa-miR-211-5p	168	193	125	282	335	22	371	342	93	517	35	46	192	566	555
hsa-miR-2110	10	20	11	17	35	10	29	28	9	15	22	14	30	22	12
hsa-miR-2113	27	25	19	17	19	10	17	21	8	5	13	10	18	4	2
hsa-miR-2114-3p	5	1	1	2	3	12	24	17	5	11	57	46	82	66	50
hsa-miR-2114-5p	3	1	4	5	5	26	42	26	14	31	114	105	313	111	133
hsa-miR-2115-3p	3	3	1	3	6	1	2	0	0	0	2	5	13	3	1
hsa-miR-2115-5p	2	1	1	0	3	1	0	0	0	0	0	0	3	1	0
hsa-miR-2116-3p	31	28	34	23	24	7	23	15	4	8	7	5	10	6	3
hsa-miR-2116-5p	7	3	6	6	7	3	7	2	0	3	1	4	2	3	0
hsa-miR-2117	0	1	0	0	1	0	1	0	0	0	0	1	0	2	0
hsa-miR-212-3p	286	346	291	299	334	164	138	97	20	119	158	247	165	135	43
hsa-miR-212-5p	76	71	64	66	71	44	44	32	17	15	51	56	57	30	14
hsa-miR-214-3p	27	21	16	21	33	33	14	13	7	13	24	22	69	54	15
hsa-miR-214-5p	6	6	2	6	3	4	4	3	2	3	8	4	9	12	5
hsa-miR-215-3p	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-215-5p	11	11	10	13	10	7	13	16	4	13	16	20	38	37	10
hsa-miR-216a-3p	1	0	0	2	1	2	1	1	1	1	1	0	1	1	0
hsa-miR-216a-5p	0	5	2	3	4	1	3	3	1	4	6	4	2	20	3
hsa-miR-216b-3p	0	3	0	7	4	1	0	4	0	0	1	0	1	2	0
hsa-miR-216b-5p	1	2	5	3	1	1	3	5	3	2	10	5	9	5	4
hsa-miR-217	3	3	0	3	4	1	2	0	3	2	12	1	4	10	0
hsa-miR-218-1-3p	18	19	13	10	18	10	17	6	4	7	7	18	9	4	0
hsa-miR-218-2-3p	5	2	4	5	7	3	2	0	1	1	3	3	6	3	1
hsa-miR-218-5p	937	1014	819	1011	1237	655	673	468	133	514	1171	1285	924	342	92
hsa-miR-219a-1-3p	10	14	20	7	6	8	9	7	3	3	4	5	16	7	5
hsa-miR-219a-2-3p	34875	36396	30409	30623	34807	21212	41189	38042	16210	25983	6498	15810	9246	3878	1163
hsa-miR-219a-5p	23145	25826	21208	25212	29848	10525	30804	29006	10315	18189	7569	19269	11429	4692	1199
hsa-miR-219b-3p	7	5	3	4	9	9	3	6	3	4	6	2	10	1	1
hsa-miR-219b-5p	5	0	2	4	2	1	1	3	0	1	1	0	1	1	2
hsa-miR-22-3p	134600	145200	120362	135424	156697	138589	171325	166261	62437	106966	139085	164479	217294	239905	117098
hsa-miR-22-5p	208	253	176	265	301	226	269	208	41	468	196	276	270	385	166
hsa-miR-221-3p	3504	4136	3421	3702	4542	3854	3730	3068	1367	2663	4869	5015	5750	6905	1544
hsa-miR-221-5p	157	117	136	115	122	115	74	76	46	48	151	152	147	138	57
hsa-miR-222-3p	2144	2605	2074	2154	2697	2228	1468	1201	622	1029	1837	2241	2589	2157	504
hsa-miR-222-5p	3	3	2	1	2	1	1	1	1	3	2	1	2	5	1
hsa-miR-223-3p	480	561	476	390	443	215	234	245	93	469	331	351	135	280	358
hsa-miR-223-5p	9	14	12	12	7	9	12	5	4	13	15	5	2	7	6
hsa-miR-224-3p	0	1	4	2	1	0	1	0	0	0	0	1	0	0	0
hsa-miR-224-5p	2	6	8	3	2	12	4	3	5	7	9	7	7	40	6
hsa-miR-2276-3p	14	18	9	9	10	5	14	16	5	7	4	5	7	2	2
hsa-miR-2276-5p	4	1	4	4	5	3	3	2	0	3	0	1	1	1	1
hsa-miR-2277-3p	8	13	7	14	17	6	18	12	4	11	6	15	9	7	3
hsa-miR-2277-5p	39	31	28	29	42	42	46	22	7	14	49	41	70	26	34
hsa-miR-2278	4	1	4	1	1	3	2	1	1	1	1	2	0	4	1
hsa-miR-2355-3p	11	13	14	21	15	11	13	10	5	8	15	6	8	4	5
hsa-miR-2355-5p	109	127	106	114	155	54	62	81	15	52	40	54	74	52	32
hsa-miR-2392	3	15	10	5	11	4	3	2	3	4	4	0	5	6	9
hsa-miR-23a-3p	1510	1658	1350	1401	1629	2003	1373	1331	765	1504	3231	2714	3738	5040	2482
hsa-miR-23a-5p	0	1	2	1	2	3	0	0	0	0	2	2	1	0	0
hsa-miR-23b-3p	26662	30717	24642	27491	34058	18350	13990	13178	5604	14447	11516	14280	13490	9044	3592
hsa-miR-23b-5p	8	4	7	7	5	6	6	10	1	4	1	1	4	1	1
hsa-miR-23c	10	8	6	13	13	2	3	5	3	8	2	4	9	10	2
hsa-miR-24-1-5p	115	117	108	94	131	64	58	76	25	64	28	57	45	25	12
hsa-miR-24-2-5p	40	54	56	33	40	61	49	50	25	53	75	65	103	152	72
hsa-miR-24-3p	6586	6904	5930	6827	8308	5166	5261	4875	1518	4792	4558	5136	4390	4473	1867
hsa-miR-2467-3p	0	3	0	0	1	0	0	1	0	0	0	0	1	0	0
hsa-miR-2467-5p	132	154	128	129	141	97	123	116	39	42	104	93	99	54	32
hsa-miR-25-3p	5160	6095	4546	4603	5257	3963	5587	4168	1342	3927	3780	4105	4800	3942	1938
hsa-miR-25-5p	13	14	12	9	11	4	16	4	3	4	4	9	11	2	2
hsa-miR-2681-3p	7	6	2	5	4	6	3	1	0	5	7	1	1	2	3
hsa-miR-2681-5p	4	4	7	5	7	3	4	1	2	4	2	2	4	2	0
hsa-miR-2682-3p	5	10	2	9	11	2	5	9	4	7	10	11	10	5	0
hsa-miR-2682-5p	15	23	21	25	22	26	10	17	3	14	29	31	35	11	0
hsa-miR-26a-1-3p	2	3	4	7	4	6	5	6	2	10	9	5	17	9	1
hsa-miR-26a-2-3p	51	67	41	36	44	29	48	38	17	42	37	55	47	54	20
hsa-miR-26a-5p	728839	801345	658147	771025	903369	516306	463464	441255	171978	503500	564204	504490	495781	319395	176747
hsa-miR-26b-3p	155	146	116	136	134	98	120	117	35	117	98	100	120	77	39
hsa-miR-26b-5p	31105	34436	29254	27193	34026	23014	19238	16854	6269	18119	20240	21759	29839	19270	10681
hsa-miR-27a-3p	2144	2217	1824	2244	2553	3059	2307	2066	825	2801	5321	4459	5483	9051	4983
hsa-miR-27a-5p	3	6	1	2	1	1	1	4	1	3	8	7	8	10	8
hsa-miR-27b-3p	291711	326233	252698	290025	326752	230211	213058	192452	68108	202586	125498	184530	170478	118941	56746
hsa-miR-27b-5p	312	334	324	258	249	211	295	245	88	273	92	158	153	178	69
hsa-miR-28-3p	5054	5390	4605	4370	4487	4411	6599	5917	3603	3983	3977	4424	8456	6831	3973
hsa-miR-28-5p	726	896	709	700	887	776	676	531	163	448	759	703	1045	938	591
hsa-miR-2861	5	10	7	8	5	4	10	6	7	2	1	0	0	1	1
hsa-miR-2909	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-296-3p	7	7	8	13	10	5	24	13	3	11	11	12	17	8	9
hsa-miR-296-5p	26	27	19	24	21	29	26	27	11	17	18	20	26	12	13
hsa-miR-297	0	2	3	0	1	2	0	0	0	0	0	0	0	0	0
hsa-miR-298	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-299-3p	57	55	39	74	72	55	31	29	12	21	59	92	35	28	4
hsa-miR-299-5p	17	16	15	18	26	24	7	3	1	6	11	20	6	6	1
hsa-miR-29a-3p	12599	13329	11238	13056	14624	14371	12230	11014	4054	10637	15501	17321	19182	13109	6162
hsa-miR-29a-5p	66	69	56	63	64	44	79	63	46	41	56	72	77	56	28
hsa-miR-29b-1-5p	9	5	7	1	6	6	2	0	4	1	4	7	7	5	1
hsa-miR-29b-2-5p	42	37	31	46	45	28	37	25	22	27	22	38	37	28	6
hsa-miR-29b-3p	2469	2705	2347	3207	3662	1791	1770	1660	720	1022	3247	2920	2975	2119	685
hsa-miR-29c-3p	4299	4758	3857	4720	5382	3288	3745	3311	1181	3689	3792	4494	4877	3395	1786
hsa-miR-29c-5p	308	391	317	382	437	247	432	406	239	249	206	283	263	224	81
hsa-miR-300	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-301a-3p	6466	7452	6054	5055	5987	3255	2761	2650	1485	3101	3770	3133	4546	2377	1292
hsa-miR-301a-5p	73	75	61	88	88	25	22	28	11	15	19	19	46	17	13
hsa-miR-301b-3p	446	463	421	392	446	272	196	181	106	181	285	287	286	219	73
hsa-miR-301b-5p	3	4	1	1	4	3	0	1	1	0	0	0	0	1	0
hsa-miR-302a-3p	0	0	0	0	0	2	0	0	0	3	2	2	2	1	1
hsa-miR-302a-5p	6	5	1	4	11	3	12	4	4	9	5	3	17	4	2
hsa-miR-302b-3p	1	2	1	0	0	1	1	1	0	2	1	1	3	0	1
hsa-miR-302b-5p	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1
hsa-miR-302c-3p	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-3p	0	2	0	0	0	0	0	0	2	1	0	3	6	3	1
hsa-miR-302d-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302e	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302f	1	4	1	2	1	1	1	0	0	2	1	0	0	0	0
hsa-miR-3064-3p	1	4	0	1	1	1	5	2	1	5	3	4	0	3	2
hsa-miR-3064-5p	2	3	1	5	5	3	2	5	0	3	1	4	0	0	1
hsa-miR-3065-3p	41	37	38	48	53	77	79	75	35	95	79	73	211	374	110
hsa-miR-3065-5p	24	30	31	37	60	42	74	80	46	63	82	78	244	344	92
hsa-miR-3074-3p	2	3	2	3	5	0	1	2	1	0	1	1	1	4	1
hsa-miR-3074-5p	4	5	2	6	5	2	6	5	4	1	3	2	2	4	4
hsa-miR-30a-3p	1676	1804	1419	2110	2448	1557	2615	2321	1022	2468	2259	1816	2824	3464	1192
hsa-miR-30a-5p	44042	51077	40772	52919	61375	45887	67980	63785	29004	48299	82326	67760	106875	96194	52032
hsa-miR-30b-3p	7	9	4	4	6	5	3	4	1	0	4	4	8	2	0
hsa-miR-30b-5p	3783	4236	3562	4333	5019	3434	3052	2827	1106	2395	4186	4138	5248	3251	1885
hsa-miR-30c-1-3p	59	56	59	43	45	36	60	57	19	26	52	47	53	31	28
hsa-miR-30c-2-3p	143	160	125	136	123	141	298	232	128	92	237	161	277	283	133
hsa-miR-30c-5p	9175	10095	8464	8182	9744	7959	6543	6070	2934	5280	8957	7877	14500	9236	4935
hsa-miR-30d-3p	113	154	118	132	204	66	112	83	41	58	78	94	129	69	27
hsa-miR-30d-5p	18866	21370	17412	21555	25733	17449	21455	20438	10463	12508	20696	21203	29253	15208	10575
hsa-miR-30e-3p	2490	2753	2277	2605	2936	1727	2484	2341	1166	1728	1929	1913	2788	2064	1015
hsa-miR-30e-5p	29970	33844	27615	30308	36600	23149	32030	31757	16384	23747	27720	29160	42291	27445	17807
hsa-miR-31-3p	20	14	18	10	6	6	7	2	0	1	4	3	1	8	1
hsa-miR-31-5p	459	526	405	333	388	143	123	111	35	87	146	138	140	325	70
hsa-miR-3115	0	3	0	1	2	1	2	0	0	0	0	0	1	0	0
hsa-miR-3116	6	6	7	3	3	1	1	1	1	1	1	2	0	1	1
hsa-miR-3117-3p	110	129	98	130	176	56	86	60	15	63	37	49	53	27	9
hsa-miR-3117-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3118	1	0	0	1	0	1	0	1	2	0	0	0	0	0	0
hsa-miR-3119	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0
hsa-miR-3120-3p	11	20	10	11	14	4	5	6	1	15	8	10	5	5	2
hsa-miR-3120-5p	5	4	2	1	2	3	2	1	0	0	0	0	0	0	1
hsa-miR-3121-3p	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-3121-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3122	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3123	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3124-3p	2	1	1	0	1	2	0	0	0	0	0	0	1	1	0
hsa-miR-3124-5p	9	13	7	8	10	5	8	6	4	11	8	10	8	5	1
hsa-miR-3125	4	3	2	4	2	1	3	4	1	1	0	2	1	7	1
hsa-miR-3126-3p	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0
hsa-miR-3126-5p	0	1	2	0	0	1	2	0	0	0	0	0	1	3	0
hsa-miR-3127-3p	1	3	0	0	3	2	1	0	1	1	0	0	2	0	0
hsa-miR-3127-5p	6	7	4	10	5	3	16	8	3	3	6	7	7	6	1
hsa-miR-3128	4	0	1	1	0	2	1	0	0	2	2	0	1	1	0
hsa-miR-3129-3p	0	1	1	0	2	3	1	0	0	2	1	2	2	1	2
hsa-miR-3129-5p	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-3130-3p	4	0	3	1	1	1	0	1	0	0	2	1	0	0	0
hsa-miR-3130-5p	3	2	2	1	2	2	3	2	0	2	0	0	0	0	1
hsa-miR-3131	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0
hsa-miR-3132	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0
hsa-miR-3133	4	4	1	2	4	2	2	0	0	1	1	0	2	1	0
hsa-miR-3134	0	2	3	1	0	1	0	1	1	1	1	0	0	0	0
hsa-miR-3135a	7	8	6	5	5	3	1	3	0	0	0	0	1	2	1
hsa-miR-3135b	2553	2338	1846	1081	1171	1397	1133	930	780	1143	1630	2857	1142	1796	841
hsa-miR-3136-3p	0	2	0	0	1	0	2	0	1	0	0	1	2	0	0
hsa-miR-3136-5p	1	4	5	1	1	1	0	2	0	0	1	1	1	0	1
hsa-miR-3137	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-3138	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-3139	29	25	18	22	20	10	7	11	1	2	2	5	5	1	0
hsa-miR-3140-3p	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-3140-5p	1	0	2	1	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-3141	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-3142	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-3143	1	0	0	2	0	2	1	0	0	1	0	0	4	1	0
hsa-miR-3144-3p	0	0	0	0	1	0	1	0	0	0	1	0	2	2	1
hsa-miR-3144-5p	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3145-3p	2	2	0	3	2	3	2	1	1	1	1	0	1	4	3
hsa-miR-3145-5p	0	0	2	1	0	0	0	0	0	1	1	1	1	2	0
hsa-miR-3146	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3147	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-3148	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3149	10	5	5	7	6	6	0	0	0	2	5	1	4	2	2
hsa-miR-3150a-3p	0	3	0	0	3	3	1	0	0	1	0	0	0	1	0
hsa-miR-3150a-5p	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0
hsa-miR-3150b-3p	2	1	0	1	1	0	1	0	0	0	0	0	0	3	1
hsa-miR-3150b-5p	2	0	1	1	2	1	1	0	0	0	0	0	0	2	1
hsa-miR-3151-3p	22	24	26	31	38	52	29	18	17	14	55	87	77	70	30
hsa-miR-3151-5p	3	2	2	2	2	1	2	1	0	0	4	3	7	4	0
hsa-miR-3152-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3152-5p	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0
hsa-miR-3153	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3154	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
hsa-miR-3155a	3	2	2	2	3	0	1	2	1	0	0	0	1	0	0
hsa-miR-3155b	6	4	2	4	5	1	1	2	1	1	0	0	2	1	0
hsa-miR-3156-3p	2	4	3	1	0	0	0	0	0	1	0	0	0	2	0
hsa-miR-3156-5p	2	2	1	2	1	1	1	1	0	2	0	0	0	2	0
hsa-miR-3157-3p	8	11	6	10	9	10	8	10	1	9	3	3	10	9	4
hsa-miR-3157-5p	6	16	8	7	15	2	7	2	0	4	5	4	10	3	1
hsa-miR-3158-3p	5	10	2	6	5	4	4	3	1	2	6	12	14	7	5
hsa-miR-3158-5p	1	1	2	0	0	0	0	0	0	0	0	2	1	2	0
hsa-miR-3159	7	7	7	4	5	2	5	2	0	1	1	2	5	2	2
hsa-miR-3160-3p	2	5	3	6	3	1	2	7	4	2	1	2	1	0	1
hsa-miR-3160-5p	4	2	1	4	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-3161	0	2	1	2	3	0	1	1	0	0	0	0	0	0	0
hsa-miR-3162-3p	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3162-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3163	1	2	3	0	1	0	0	0	0	0	1	0	1	0	0
hsa-miR-3164	2	0	2	3	0	2	0	0	0	0	0	0	0	0	2
hsa-miR-3165	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-3166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3167	2	5	7	1	3	4	2	5	1	3	1	1	1	0	0
hsa-miR-3168	10	8	4	2	10	5	17	16	7	5	6	3	6	10	3
hsa-miR-3169	3	2	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3170	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
hsa-miR-3171	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-3173-3p	2	2	1	1	1	3	1	2	3	3	1	1	0	0	0
hsa-miR-3173-5p	16	18	18	10	12	8	21	11	7	2	4	9	9	4	3
hsa-miR-3174	4	4	6	5	8	2	6	4	6	5	2	6	3	0	2
